,0
0,279.3807206059326
1,1536.9993671017862
2,176.9975377166962
3,130.99585979050434
4,52.068145269798755
5,1068.224327821096
6,157.00340651931364
7,1049.999946341784
8,529.99669811999
9,998.9950760399023
10,665.260391861628
11,58.005143321927775
12,544.2857327788208
13,563.7908441406237
14,272.73854015918425
15,456.99881398572137
16,581.9963151909818
17,809.9999325200145
18,84.00394325478402
19,63.99909631087335
20,557.9995581400966
21,106.26218550071322
22,189.26242746103947
23,65.99895599448455
24,448.86007629845636
25,618.0004175074636
26,461.2693136359063
27,60.02535683062351
28,325.2862317683752
29,127.00161746136914
30,136.01390135937484
31,1104.999975470189
32,39.40433005111972
33,204.198644100445
34,122.00102838557414
35,303.0002780251065
36,217.99835231933713
37,220.77502865577392
38,168.99720010758165
39,568.0043643226799
40,206.0067163125909
41,180.2117579887594
42,324.00338842844815
43,188.99576259441233
44,106.99145272763882
45,296.00702218821294
46,251.25958036712993
47,48.995612797908535
48,202.72346159384455
49,41.37274244529636
50,136.43608730966244
51,434.68103596514936
52,93.23279441652495
53,102.40317240443775
54,63.99465563908818
55,797.0015863635423
56,329.00216774132656
57,732.5002075308573
58,242.71803502945704
59,560.9976773780159
60,443.00210685851295
61,119.47492273271907
62,522.0020376639621
63,407.99992353707006
64,233.943844003109
65,582.3663408476702
66,329.99969249352085
67,168.0072182098442
68,271.9963988619789
69,551.606729657188
70,170.4145034820066
71,191.0023654696195
72,759.5407888972566
73,116.99637307072436
74,736.2448057215195
75,378.38302325466356
76,135.99601471595824
77,56.13223961567193
78,108.00250254195514
79,968.9987004120055
80,115.99868556614291
81,679.9988987420087
82,137.0019858800331
83,894.9956692608312
84,402.99550245878123
85,633.0052501719377
86,896.6634322474512
87,374.7417496929298
88,901.0001517322968
89,552.9955239038577
90,73.509803545685
91,187.0016498742738
92,500.99890827797987
93,78.99500104707568
94,180.48119926003028
95,131.00149005695894
96,127.37850860696416
97,2.001108563367701
98,357.9961381293959
99,54.86479455377825
100,268.14930483664267
101,281.0092149219886
102,901.9991006811931
103,224.96266159578585
104,248.99865467209713
105,1151.6259027092242
106,426.00732653134895
107,237.9969908212561
108,607.1621179708709
109,634.724371302315
110,419.99737264921265
111,316.989702995652
112,248.3323514458872
113,326.0043760174198
114,949.2693795532326
115,243.69885305210363
116,157.25634207021423
117,58.998937778112534
118,590.0024954114152
119,432.003216291888
120,34.79029507036825
121,608.4436475196727
122,654.9998324566001
123,91.23895921853682
124,196.77364361756793
125,523.8390103200762
126,186.39475238762066
127,677.7603207580203
128,141.00166224587488
129,532.9996820812383
130,686.2317837140243
131,231.48368410572954
132,587.9993867991728
133,293.9991629138183
134,138.11341313332463
135,807.9996684062803
136,211.12425565224245
137,944.9983171099113
138,474.40416250211393
139,200.00753542165614
140,55.004242978335526
141,196.67194651571054
142,373.2720205797997
143,509.2685233353302
144,80.00096851110193
145,51.99510429861135
146,161.49733895634606
147,436.0036270694731
148,579.6515520100058
149,245.99437365940716
150,314.99722530817905
151,106.51221370408449
152,663.9682750015804
153,226.00947566834876
154,537.9975341110825
155,233.45885279606395
156,518.6276378278598
157,229.69800691940296
158,513.9449511456584
159,330.0015204952212
160,188.99314027047956
161,486.4703246641455
162,560.0575822895248
163,473.9973235163621
