,County,Population,Male,Female,White,Black,Minority,Housing Units,Aggregate Rent Spent By All Renter Housing Units,Rental Units For Which Rent Expenditures Calculated,Occupation Of Residents 16 Or Older - Professional And Managerial,"Occupation Of Residents 16 Or Older - Sales, Office And Administrative Support",Occupation Of Residents 16 Or Older - Services,"Occupation Of Residents 16 Or Older - Farming, Forestry, Or Fishing","Occupation Of Residents 16 Or Older - Construction, Extraction And Maintenance","Occupation Of Residents 16 Or Older - Production, Transportation And Material Moving",Work Classification Of Residents 16 Or Older - Private For-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Private Non-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Government Workers,Work Classification Of Residents 16 Or Older - Self-Employed Workers,Work Classification Of Residents 16 Or Older - Unpaid Family Workers,Means Of Travel To Work Of Employed Persons 16 Or Older - Drove Alone,Means Of Travel To Work Of Employed Persons 16 Or Older - Carpool,Means Of Travel To Work Of Employed Persons 16 Or Older - Public Transit,Means Of Travel To Work Of Employed Persons 16 Or Older - Taxicab,Means Of Travel To Work Of Employed Persons 16 Or Older - Motorcycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Bicycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Walked,Means Of Travel To Work Of Employed Persons 16 Or Older - Other Means,Means Of Travel To Work Of Employed Persons 16 Or Older - Worked At Home,"Households With Income Less Than $10,000","Households With Income $10,000-$14,999","Households With Income $15,000-$19,999","Households With Income $20,000-$24,999","Households With Income $25,000-$29,999","Households With Income $30,000-$34,999","Households With Income $35,000-$39,999","Households With Income $40,000-$44,999","Households With Income $45,000-$49,999","Households With Income $50,000-$59,999","Households With Income $60,000-$74,999","Households With Income $75,000-$99,999","Households With Income $100,000-$124,999","Households With Income $125,000-$149,999","Households With Income $150,000-$199,999","Households With Income $200,000 Or More",White Persons Among Whom Poverty Status Was Determined,Black Persons Among Whom Poverty Status Was Determined,Persons In Poverty,White Persons In Poverty,Black Persons In Poverty
206,Clay,2125,1069,1056,1908,60,322,786,84577.0,101,267,287,184,0,90,192,801,20,183,17,0,798,173,0,0,0,0,6,15,9,29,15,32,25,5,13,35,66,77,114,114,158,22,15,9,6,1821,2906,213,144,187
221,Jackson,1057,569,488,469,98,737,403,75444.0,178,106,131,82,0,84,11,235,27,56,97,0,288,19,33,0,0,0,0,0,29,38,48,75,15,12,31,28,18,12,16,14,17,12,0,0,0,565,196,398,218,48
680,Jackson,1008,567,441,797,94,232,894,570047.0,622,476,133,64,0,0,54,584,28,116,0,0,589,24,15,0,0,0,69,20,31,112,19,42,45,45,68,64,49,36,53,66,89,48,26,9,0,771,180,179,118,39
198,Clay,3299,1601,1698,3138,34,231,1281,158060.0,295,755,350,213,0,102,211,1170,56,281,123,0,1204,197,0,0,0,0,41,9,64,58,76,50,61,48,42,58,53,70,119,116,201,148,48,37,23,3111,22,399,371,0
66,Clay,1220,585,635,939,113,322,578,210409.0,284,185,209,227,0,32,104,625,39,62,23,9,650,78,5,0,0,0,12,0,13,4,21,19,36,38,43,60,80,34,27,40,81,20,10,0,0,923,1472,175,107,152
521,Jackson,966,434,532,325,551,655,385,68315.0,95,109,39,159,0,52,154,232,228,7,46,0,395,29,14,0,0,0,12,4,55,23,4,15,21,37,24,19,17,22,45,52,48,0,0,0,0,267,634,297,62,217
350,Jackson,627,268,359,14,595,614,298,41059.0,76,75,36,36,0,0,63,203,0,7,0,0,180,6,16,0,0,0,8,0,0,64,26,29,5,35,32,9,8,5,7,14,23,0,0,0,0,28,573,185,7,176
761,Platte,813,370,443,646,115,198,355,88800.0,148,89,111,94,0,50,56,314,34,52,0,0,303,40,7,0,0,0,0,28,0,7,12,35,73,4,14,10,22,30,49,35,9,17,14,0,0,665,81,63,34,13
488,Jackson,1130,532,598,754,277,405,545,146645.0,219,121,273,105,0,20,33,505,29,18,0,0,434,62,44,0,0,0,10,0,0,5,54,95,39,66,40,28,8,0,33,75,29,0,4,11,0,745,241,135,84,30
132,Clay,1989,988,1001,1653,167,403,958,367423.0,422,576,248,102,0,113,134,710,186,219,58,0,1060,57,0,0,0,0,9,28,19,12,20,29,39,17,33,66,57,64,134,139,91,90,25,27,14,1600,135,81,68,13
580,Jackson,2032,975,1057,1766,161,309,645,53704.0,64,509,295,133,0,58,44,800,98,95,47,0,864,14,0,0,0,0,0,17,92,51,12,0,6,25,16,10,56,17,24,96,162,61,47,43,10,1656,182,69,40,29
652,Jackson,1295,660,635,1251,3,67,473,58476.0,87,128,164,95,0,141,156,506,34,133,11,0,557,82,6,0,0,0,0,20,0,5,3,13,14,15,18,41,21,6,59,131,83,19,12,5,0,1270,0,170,168,0
13,Cass,935,460,475,835,52,115,345,14221.0,22,254,137,25,10,40,48,291,63,40,120,0,360,49,16,0,0,0,0,0,77,6,0,0,0,17,17,38,32,22,28,21,62,48,21,7,0,821,15,63,55,5
72,Clay,1629,806,823,1353,142,359,719,147215.0,246,313,232,82,0,55,145,613,77,100,36,0,793,0,14,0,0,0,41,0,0,54,83,23,47,38,74,46,47,18,26,56,71,45,16,2,11,1435,2262,303,221,345
724,Jackson,841,412,429,415,369,437,457,62381.0,119,190,45,61,0,9,26,172,89,61,10,0,264,5,0,0,0,0,6,14,35,77,48,2,6,13,11,16,8,6,19,31,52,54,14,0,0,449,367,156,46,103
412,Jackson,690,334,356,240,401,493,279,43432.0,67,117,59,59,0,6,17,209,8,32,9,0,233,7,0,0,0,0,9,8,0,23,33,25,7,19,23,5,23,21,35,32,0,0,0,0,0,252,320,187,45,110
186,Clay,2834,1416,1418,2765,10,109,1019,24956.0,47,707,276,241,0,178,215,1070,181,173,193,0,1175,300,0,0,0,0,26,58,57,2,11,5,19,19,35,38,9,7,28,82,219,233,113,105,67,2800,52,62,61,1
354,Jackson,973,439,534,29,929,945,505,33466.0,105,101,151,19,0,30,145,272,86,86,0,0,357,66,0,0,0,0,0,0,11,54,64,41,41,39,16,0,8,18,30,31,49,0,0,0,0,44,889,288,10,273
483,Jackson,1546,786,760,1227,201,367,705,98741.0,126,302,173,123,0,39,102,491,42,148,57,0,687,3,0,0,0,0,0,0,11,33,2,15,40,38,21,39,37,24,65,100,85,91,21,35,0,1013,447,200,109,37
744,Jackson,1735,866,869,1366,271,410,590,40985.0,24,356,220,147,0,56,127,633,59,181,32,0,830,53,0,0,0,0,0,0,24,13,15,11,10,13,26,19,0,32,57,40,105,140,46,25,0,1417,134,42,31,11
92,Clay,1947,941,1006,1817,39,164,932,178068.0,269,267,208,243,0,46,139,656,96,107,44,0,775,71,0,0,0,0,0,0,29,62,21,19,52,50,58,102,107,57,62,52,92,49,38,31,9,1778,28,238,223,5
666,Jackson,1495,790,705,1397,31,139,560,16948.0,49,163,84,159,11,84,104,448,56,63,27,11,526,32,22,0,0,0,0,0,5,21,17,51,62,39,17,12,25,18,49,97,94,22,11,0,0,1357,28,213,203,5
771,Platte,1838,901,937,1597,108,315,808,207706.0,316,342,332,49,0,91,192,738,78,101,89,0,884,58,0,0,0,0,2,17,31,49,4,46,77,69,105,33,25,26,57,76,46,31,37,48,26,1617,1441,130,93,197
283,Jackson,716,317,399,39,623,687,465,101966.0,317,52,25,101,0,0,21,119,5,75,0,0,126,41,33,0,0,0,0,0,0,147,57,20,19,26,28,18,22,10,10,5,0,0,0,0,0,43,617,243,30,205
508,Jackson,845,397,448,320,478,545,360,42505.0,60,129,134,74,6,39,71,344,4,91,13,0,416,0,24,0,0,0,0,5,7,14,0,6,25,31,28,12,18,25,49,60,49,9,2,5,0,420,440,99,54,82
326,Jackson,777,367,410,49,689,735,362,62258.0,147,52,35,160,0,22,36,265,0,14,26,0,264,6,9,0,0,0,8,7,11,44,20,18,30,15,4,26,12,42,61,9,14,0,0,1,5,32,699,230,19,210
416,Jackson,640,302,338,483,109,175,245,22161.0,34,59,115,101,0,12,66,227,26,100,0,0,339,14,0,0,0,0,0,0,0,11,8,0,2,3,12,45,19,19,31,17,32,19,3,8,0,450,450,46,36,36
699,Jackson,1454,872,582,860,314,647,1110,460457.0,849,410,241,247,0,14,110,738,140,70,73,0,662,40,90,0,0,72,139,0,0,63,96,170,102,95,80,58,53,14,29,72,73,19,0,0,0,991,238,212,152,40
35,Cass,1254,624,630,1210,9,65,489,18261.0,20,192,223,86,0,103,66,444,32,142,51,0,566,62,0,0,0,0,0,13,23,21,2,7,0,6,6,42,21,61,108,65,76,34,10,0,0,1186,8,98,98,0
376,Jackson,865,415,450,291,524,594,413,90020.0,136,119,124,15,0,10,48,183,19,48,66,0,180,13,31,0,0,0,10,27,56,77,41,15,32,21,0,30,31,21,23,6,27,17,0,0,0,265,546,307,76,204
424,Jackson,1163,592,571,965,48,233,618,131929.0,270,58,136,46,0,70,107,305,40,43,29,0,393,0,0,0,0,0,0,0,9,106,74,57,55,36,16,8,32,14,24,42,27,14,7,0,0,1046,58,298,272,11
139,Clay,906,442,464,764,77,184,463,255926.0,281,268,158,76,7,37,71,470,77,58,12,0,515,19,0,0,0,0,18,0,38,0,4,38,53,4,3,7,25,28,45,52,68,31,24,33,20,758,73,67,24,21
657,Jackson,1873,888,985,1638,104,307,707,99678.0,153,343,302,149,0,38,92,675,38,158,54,0,855,0,12,0,0,0,0,0,0,36,17,33,43,20,20,71,73,27,26,62,149,48,11,15,29,1726,75,189,189,0
316,Jackson,876,389,487,41,804,835,430,76506.0,129,34,110,55,0,25,21,179,24,30,13,0,191,55,0,0,0,0,0,0,0,74,19,31,31,27,10,25,16,20,32,21,24,0,0,0,0,51,716,285,11,225
18,Cass,3502,1724,1778,3228,117,349,1360,166166.0,239,704,494,359,0,273,212,1491,241,127,183,0,1832,129,11,0,0,0,0,0,32,18,16,9,19,61,41,47,47,105,215,209,202,129,66,81,12,3349,38,91,78,5
774,Platte,1773,865,908,1442,197,410,919,366871.0,494,604,397,31,0,48,76,752,117,214,73,0,868,164,0,0,0,0,0,0,123,23,66,48,24,29,43,49,53,29,47,68,94,124,88,30,0,1376,231,140,60,70
91,Jackson,909,550,359,674,151,294,490,271415.0,422,229,226,44,0,0,17,334,25,118,40,0,354,30,13,0,0,0,66,0,53,43,97,58,23,0,13,10,22,28,40,40,58,19,9,0,0,655,195,188,144,37
665,Jackson,1061,532,529,1000,5,84,432,47725.0,118,73,140,97,0,42,104,332,27,59,38,0,333,49,0,0,0,0,9,24,11,28,37,39,39,22,27,12,11,26,55,55,32,8,4,0,0,1011,11,58,56,0
532,Jackson,1008,497,511,787,106,252,413,64247.0,110,134,103,52,0,57,79,327,53,24,21,0,356,58,0,0,0,0,10,0,0,20,12,19,10,14,50,48,44,13,33,69,33,14,5,5,0,740,118,107,59,7
394,Jackson,932,386,546,366,483,584,657,440655.0,584,154,174,72,0,0,55,343,47,50,15,0,423,32,0,0,0,0,0,0,0,20,35,66,32,18,51,43,52,37,56,71,77,19,7,0,0,473,364,163,118,20
468,Jackson,1062,525,537,877,108,227,520,29113.0,71,67,269,70,13,48,46,357,10,85,61,0,415,62,0,0,0,0,0,0,22,38,26,57,13,36,44,11,53,36,34,35,68,16,5,0,0,825,81,214,191,23
564,Jackson,848,426,422,680,113,176,274,0.0,41,208,106,71,0,19,67,255,52,93,71,0,427,18,0,0,0,0,0,0,27,0,0,10,20,0,24,17,0,0,0,0,17,40,23,53,54,712,88,81,38,39
768,Platte,11,5,6,11,0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Jackson,1715,851,864,1576,65,177,615,72506.0,70,374,252,154,0,150,39,824,0,118,27,0,868,44,18,0,0,0,12,0,27,2,17,20,0,0,8,16,41,26,76,162,156,47,22,0,0,1564,94,95,92,0
789,Platte,767,394,373,735,2,50,280,0.0,0,106,105,33,0,37,17,162,19,59,60,0,231,11,0,0,0,0,0,12,45,0,0,7,14,0,0,7,17,9,20,39,47,29,11,33,43,709,21,27,27,0
806,Platte,908,477,431,760,74,164,481,304746.0,339,219,146,25,0,79,36,359,17,120,8,0,504,39,0,0,0,8,0,0,10,12,13,5,9,5,32,30,14,11,12,14,101,115,16,47,0,823,41,87,86,2
650,Jackson,1581,753,828,1338,120,278,702,132264.0,136,426,335,84,0,0,39,699,18,115,52,0,824,14,0,0,0,0,0,0,46,12,0,14,32,18,43,21,11,21,59,110,146,57,27,45,50,1438,49,28,28,0
273,Jackson,886,413,473,31,813,860,494,77986.0,216,20,59,144,0,11,0,122,19,59,34,0,153,21,60,0,0,0,0,0,0,134,48,45,21,3,3,14,25,11,6,5,14,7,10,0,0,26,825,384,26,339
201,Clay,1028,455,573,866,77,202,720,460531.0,570,335,129,135,0,22,40,562,19,51,30,0,566,33,62,0,0,0,0,0,0,39,32,59,97,35,45,40,69,46,49,33,29,32,45,2,12,912,17,94,87,16
585,Jackson,1282,632,650,1223,21,71,501,62822.0,92,177,167,96,0,72,90,401,67,83,51,0,508,76,0,0,0,0,3,0,11,7,14,29,22,24,16,22,35,24,38,61,108,36,8,14,10,1194,19,100,100,0
195,Clay,3780,1900,1880,3603,20,249,1347,22059.0,35,640,526,374,2,227,212,1485,92,224,180,0,1562,247,0,0,0,0,12,20,63,19,20,6,20,25,36,39,23,97,167,118,249,255,87,105,25,3635,376,92,88,1
348,Jackson,1352,590,762,96,1180,1263,673,51150.0,239,164,142,133,0,11,61,307,136,57,10,0,336,28,15,0,0,0,26,40,18,99,71,24,56,70,38,33,36,40,66,46,2,0,0,0,0,135,1105,409,64,345
802,Platte,1852,926,926,1759,16,149,592,39686.0,34,572,215,91,0,52,84,635,75,202,103,0,945,44,0,0,0,0,0,0,26,0,0,0,5,12,9,14,5,15,41,60,105,122,69,54,65,1782,17,39,39,0
137,Clay,1995,973,1022,1780,91,280,773,16436.0,22,540,223,83,0,19,61,675,76,121,55,0,691,144,16,0,0,0,0,10,36,26,3,8,9,30,57,51,35,26,46,71,136,115,66,58,15,1757,53,30,30,0
392,Jackson,1297,595,702,778,379,568,742,249258.0,394,429,206,271,0,9,11,636,119,18,153,0,712,67,11,0,0,0,0,0,138,113,40,47,26,58,61,32,26,44,59,22,56,55,26,0,0,658,506,227,164,28
539,Jackson,1702,870,832,865,696,873,672,60648.0,126,285,231,155,0,49,135,593,138,78,46,0,741,93,0,0,0,0,0,0,36,61,1,10,12,5,48,31,16,47,68,63,152,62,27,14,0,1121,482,194,123,71
510,Jackson,794,389,405,258,462,553,271,31900.0,38,117,34,39,0,38,81,158,83,57,10,0,272,10,0,0,0,0,0,26,0,2,9,9,26,30,19,0,0,14,48,61,18,14,3,9,0,263,475,122,35,79
572,Jackson,1650,755,895,1527,47,151,763,63945.0,157,305,288,113,0,83,62,541,87,201,21,0,789,0,0,0,0,0,0,6,30,6,9,44,42,22,24,40,84,64,67,65,155,37,4,13,0,1485,75,73,73,0
766,Platte,1215,589,626,1111,25,136,543,37723.0,68,209,178,57,0,45,119,461,51,24,71,0,493,77,2,0,0,0,0,7,30,40,34,7,10,36,37,23,14,23,48,57,91,49,8,21,6,1112,280,59,59,16
26,Cass,1163,595,568,1130,10,39,466,25895.0,53,168,176,35,9,128,101,368,9,86,148,5,461,79,0,0,0,0,29,12,29,30,11,12,19,21,19,26,11,17,43,67,88,40,19,10,3,1140,0,52,49,0
216,Jackson,962,475,487,506,34,685,331,60356.0,118,56,31,125,0,98,65,278,40,0,58,0,245,111,19,0,0,0,0,0,0,51,51,74,21,38,36,5,0,7,9,0,0,0,0,0,0,617,19,426,295,19
387,Jackson,635,320,315,415,169,241,301,63054.0,104,115,93,70,0,12,18,191,40,68,9,0,245,38,9,0,0,0,0,0,15,0,6,33,39,14,18,11,14,25,45,34,14,16,5,1,7,446,162,49,25,22
127,Clay,2538,1221,1317,1986,245,684,1019,147663.0,242,462,490,154,12,106,153,1057,60,220,26,13,1075,284,13,0,0,0,0,4,0,70,32,30,32,29,47,51,33,55,106,108,162,152,35,19,11,1846,344,488,341,11
747,Jackson,3302,1613,1689,2660,393,703,1240,149150.0,178,931,328,246,0,78,77,945,246,287,182,0,1369,90,0,0,0,0,19,0,172,22,4,20,22,11,40,73,36,70,115,75,155,170,128,150,88,2692,281,89,79,10
788,Platte,506,244,262,460,29,57,315,85248.0,169,85,19,131,0,41,55,236,45,21,29,0,221,83,11,0,0,0,0,0,15,71,3,14,15,44,37,7,4,12,22,13,19,25,0,0,0,449,12,39,25,1
406,Jackson,1430,677,753,1116,191,362,617,79177.0,75,314,121,179,0,93,38,474,200,65,7,0,712,0,19,0,0,0,4,0,0,1,8,21,53,43,32,35,47,46,67,80,127,0,3,8,0,743,249,363,186,65
67,Clay,600,288,312,536,24,83,279,55814.0,46,108,92,40,0,24,41,220,18,21,45,0,305,0,0,0,0,0,0,0,0,0,0,0,0,12,25,9,57,28,27,35,25,28,12,0,0,454,724,86,53,75
554,Jackson,853,370,483,645,157,223,481,56804.0,49,180,168,44,0,13,32,360,10,30,38,0,393,44,0,0,0,0,0,0,0,23,29,0,29,57,26,44,29,22,33,25,45,46,25,14,0,540,156,49,27,22
810,Platte,622,318,304,575,14,62,271,85158.0,122,45,54,170,0,43,94,217,0,157,33,0,300,99,0,0,0,0,0,0,8,2,9,4,8,0,0,7,46,25,42,61,25,5,7,2,8,564,28,60,59,1
390,Jackson,633,299,334,551,62,95,344,29905.0,47,198,66,54,0,10,0,212,77,8,32,0,288,5,0,0,0,0,0,20,0,2,16,21,9,24,26,15,5,9,16,24,54,30,21,25,29,481,112,24,13,8
314,Jackson,772,388,384,83,667,701,404,83444.0,185,79,39,53,0,5,48,148,16,35,25,0,130,29,14,0,0,5,0,0,15,65,10,24,52,35,14,29,38,11,2,1,4,3,0,0,0,45,631,251,10,198
731,Jackson,1659,853,806,1501,64,206,631,51262.0,97,182,182,89,0,53,58,361,18,153,31,0,474,43,5,0,0,0,0,0,21,26,38,10,32,25,46,33,14,10,50,108,100,62,24,10,8,1507,34,90,86,0
160,Clay,2987,1433,1554,2799,74,223,975,46801.0,89,693,325,161,0,79,122,889,159,174,159,0,1119,115,10,0,0,0,21,0,102,47,37,4,7,25,31,33,23,59,115,109,148,97,68,112,26,2086,124,377,371,6
342,Jackson,1993,981,1012,1902,20,113,784,0.0,7,679,269,80,0,25,15,474,206,124,265,0,821,52,0,0,0,0,0,0,169,16,30,0,11,16,6,18,26,11,22,41,68,116,98,160,122,1916,30,56,56,0
193,Clay,1690,849,841,1628,19,93,655,18003.0,48,246,186,114,0,91,112,578,42,68,61,0,667,37,0,0,0,0,0,0,38,4,19,2,7,14,19,10,28,48,89,98,121,93,59,14,0,1584,0,71,71,0
482,Jackson,1945,883,1062,1108,681,885,783,176512.0,323,237,340,199,0,39,120,681,43,143,68,0,800,78,11,0,0,0,0,0,9,80,78,53,60,67,90,75,12,25,50,44,42,14,12,7,5,1274,562,252,137,46
213,Jackson,1393,672,721,591,450,860,744,173171.0,453,140,58,150,0,99,65,363,46,50,54,0,323,57,39,0,0,24,20,12,33,132,87,58,71,66,33,32,12,0,27,59,20,18,8,8,7,580,303,691,124,205
71,Clay,1498,739,759,933,268,652,757,281285.0,439,193,304,238,0,36,170,753,52,115,22,0,799,46,20,0,0,0,22,0,55,15,54,26,42,62,87,88,34,36,75,60,32,33,18,0,0,1217,107,75,67,6
113,Clay,975,456,519,825,45,190,501,131437.0,219,126,90,90,0,60,222,511,21,55,0,0,522,45,0,0,0,0,0,0,0,18,0,11,42,51,53,21,21,46,79,55,26,24,0,0,0,907,13,100,56,7
587,Jackson,2023,991,1032,1704,210,374,691,127756.0,107,544,325,219,0,71,92,946,85,112,109,0,1157,37,0,0,0,0,0,0,36,26,2,16,18,14,14,19,25,35,69,83,118,104,63,68,0,1793,95,52,41,0
93,Clay,954,479,475,899,18,79,480,81710.0,123,70,77,26,0,74,60,275,0,32,0,0,291,0,0,0,0,0,18,18,0,22,42,85,36,21,17,52,23,5,11,28,68,18,0,0,0,871,14,117,109,3
418,Jackson,895,432,463,753,84,164,432,31161.0,76,181,208,60,0,52,35,375,60,84,17,0,510,27,0,0,0,0,0,0,0,13,6,24,27,44,39,25,13,13,20,22,51,50,32,20,9,387,456,241,26,215
795,Platte,708,367,341,626,38,116,258,31129.0,39,48,171,52,0,16,58,316,0,13,14,0,295,34,0,0,0,0,0,0,14,0,11,36,12,12,5,0,0,10,20,34,65,18,15,0,0,629,17,54,36,1
736,Jackson,2145,1029,1116,1701,222,513,803,167340.0,192,604,261,138,0,47,168,703,201,212,102,0,933,212,16,0,0,0,33,0,15,35,12,17,6,0,33,42,16,17,91,153,108,138,26,68,23,1673,212,108,84,6
635,Jackson,1035,496,539,929,12,149,437,26363.0,30,131,149,58,0,22,32,248,22,66,58,0,316,65,0,0,0,0,0,0,0,0,3,30,44,13,14,20,7,35,77,68,38,27,27,10,0,1012,8,100,90,8
64,Clay,978,458,520,775,67,232,520,124551.0,144,317,89,96,0,24,23,359,18,93,78,0,435,44,23,0,0,0,22,0,17,10,0,3,15,23,25,25,7,20,54,67,51,48,38,29,56,907,1490,30,30,37
271,Jackson,660,305,355,206,409,480,317,54242.0,132,87,96,18,60,0,36,167,29,11,28,60,206,43,11,0,0,0,13,9,6,48,44,0,11,23,32,22,8,2,5,19,23,8,11,0,0,159,448,168,10,157
685,Jackson,905,448,457,121,692,810,474,86538.0,144,51,83,91,0,2,13,127,70,35,7,0,183,4,34,0,0,0,10,0,5,70,36,23,33,15,32,36,15,14,26,21,7,2,3,0,0,90,519,433,52,231
102,Clay,1376,697,679,1196,64,253,593,63042.0,122,197,195,107,0,115,116,537,104,89,0,0,625,73,0,0,0,0,3,0,7,14,13,22,43,59,40,36,29,22,54,66,52,75,8,0,0,1202,134,82,77,5
517,Jackson,573,269,304,210,306,388,245,23381.0,46,57,84,10,0,9,114,175,41,59,0,0,240,28,6,0,0,0,0,0,0,18,44,3,11,13,6,16,28,13,12,16,32,4,0,1,5,159,375,120,12,91
523,Jackson,898,402,496,207,603,718,354,21733.0,34,98,98,8,0,17,76,208,81,0,8,0,298,0,0,0,0,0,0,0,0,12,15,33,23,29,29,38,19,9,22,28,23,0,0,0,0,248,589,276,58,202
118,Clay,2051,1025,1026,1741,142,376,1187,346794.0,588,250,317,302,0,98,206,1064,13,69,26,0,943,141,10,0,0,0,20,11,13,77,106,78,43,94,119,88,86,75,105,72,60,38,7,0,0,1866,105,221,215,6
200,Clay,292,168,124,193,63,108,341,103434.0,199,33,52,38,0,0,18,109,6,16,10,0,74,32,0,0,0,0,13,0,6,40,57,19,18,32,7,10,5,0,0,0,2,5,3,0,0,259,5,27,25,4
691,Jackson,1429,645,784,374,936,1084,753,291336.0,481,170,226,150,0,58,71,426,142,108,0,0,547,46,34,0,0,0,0,0,0,63,57,144,37,65,61,30,61,33,27,16,18,12,17,0,0,443,635,767,255,297
40,Cass,2884,1439,1445,2743,36,189,1151,37958.0,62,487,392,269,0,244,186,1026,68,130,355,0,1329,97,0,0,0,0,19,11,119,32,25,30,59,61,27,55,39,23,69,155,241,119,54,47,45,2731,77,132,128,0
461,Jackson,1039,530,509,809,81,285,477,102825.0,183,121,140,52,0,18,43,292,57,13,14,0,331,15,0,0,0,0,0,14,16,54,39,46,62,12,18,40,28,9,25,41,25,11,0,0,0,813,78,311,164,40
388,Jackson,1275,612,663,1003,192,326,682,176324.0,261,256,220,142,0,68,55,473,90,98,79,0,531,79,29,0,0,0,7,56,35,4,31,59,77,40,3,21,11,26,57,81,145,55,11,8,7,894,256,137,53,0
809,Platte,638,307,331,573,24,79,296,149713.0,160,83,42,80,0,46,80,288,0,17,25,0,268,52,0,0,0,0,0,14,20,11,6,17,11,15,0,5,7,12,27,47,76,19,5,14,0,578,29,61,60,1
111,Clay,711,360,351,595,40,152,321,31430.0,59,55,129,23,0,12,27,169,21,20,23,15,219,28,0,0,0,0,0,0,0,45,25,12,29,29,31,19,7,0,13,29,19,13,4,11,0,661,10,73,41,5
441,Jackson,1600,792,808,1412,34,243,567,5071.0,0,238,272,87,0,42,194,688,74,42,30,0,789,0,0,0,0,0,0,18,14,2,10,18,40,14,21,31,17,45,100,97,68,28,25,20,0,1375,38,194,148,22
603,Jackson,1968,934,1034,1493,313,523,777,351278.0,428,431,198,196,0,68,115,679,109,176,43,0,764,102,11,0,0,0,34,0,84,30,10,13,56,53,82,59,4,15,50,116,189,42,8,0,0,1640,121,214,151,8
331,Jackson,1555,764,791,265,1237,1298,728,203345.0,294,123,113,354,0,6,156,614,33,82,23,0,608,43,71,0,0,0,0,0,21,54,48,51,70,41,46,50,27,23,56,75,67,2,2,5,0,200,1244,290,62,198
467,Jackson,792,407,385,641,89,193,442,60642.0,137,71,108,13,0,63,69,279,19,10,16,0,252,35,0,0,0,0,24,0,0,0,10,52,47,14,15,78,56,26,33,15,23,19,14,0,0,615,60,160,142,17
238,Jackson,1277,643,634,536,173,980,478,112668.0,222,33,32,205,0,0,102,361,0,12,0,0,219,92,62,0,0,0,0,0,0,76,51,56,54,46,24,9,21,12,14,8,0,0,3,10,0,531,349,535,254,154
